"store_item","ME","RMSE","MAE","MPE","MAPE"
"3_1119217",0.177625831666072,1.29143206345613,0.761729617129339,-Inf,Inf
"3_1121513",0.647021335387197,1.61769298752978,1.32919500352905,-Inf,Inf
"3_1121514",0.676963841934269,3.10668393723376,2.4768270329963,-33.5008083792298,79.2902739684286
"3_1121515",-0.57951045374997,2.54004764716593,1.90865741235565,-76.0617636035024,94.7615916610966
"3_1121615",-3.43139617881357,6.62549185385514,5.67981253897941,-Inf,Inf
"3_1121616",-6.00854223943868,12.7767882086178,11.4526522901867,-Inf,Inf
"3_1123722",0.249317119413573,0.582254334728849,0.486292749930773,-Inf,Inf
"3_1124164",0.895022905925377,1.80858122292331,1.58365856533081,NA,Inf
"3_1124165",0.219019168411736,1.79581386754151,1.60032018549683,NA,Inf
"3_1124973",5.07258352699646,6.85056459399577,5.85404747833528,25.8105705242805,77.9233498935675
"3_1127860",0.326602983458878,2.49434386871606,2.19134839655919,-18.0791733966296,48.5415765405551
"3_1127862",4.14361326266906,5.43423986735191,4.29707632722575,62.4318665808043,65.3765104866151
"3_112830",5.21122480634826,9.03812155611863,6.71875387559222,21.7509473535479,45.098950581697
"3_1132005",0.644763492498572,3.05706791247467,2.014427913841,-Inf,Inf
"3_1133955",1.05920423108522,1.81181801797869,1.16735215037015,NA,Inf
"3_1134971",2.14006024687109,9.01961593188143,4.0110131826388,-Inf,Inf
"3_1135438",0.487368368642085,0.90788195732607,0.717420967099523,-Inf,Inf
"3_1136979",-0.827351573419174,2.51978993884166,2.25305554345116,-Inf,Inf
"3_1137146",-6.74875499854959,9.89006195601122,8.63655434300488,-49.6280960739363,55.1769513176285
"3_1138053",1.95598571438927,5.70429633035745,4.60586918137177,3.05765586956086,27.2197146007407
"3_1141956",-0.275868219296778,1.04271390623428,0.820927939083122,NA,Inf
"3_1143685",-0.331402761625318,21.7659010834704,16.9617135761358,-14.9936997142394,135.388268840959
"3_1143686",0.0604442956168095,3.92231060370836,2.67261876299408,-Inf,Inf
"3_1143691",1.62752283931695,1.84919761748357,1.6851886390373,NA,Inf
"3_1145597",0.356823734394027,2.08910259567481,1.60283134798427,-Inf,Inf
"3_1146496",-5.79287378312136,24.8510115057077,16.4510495567283,-44.5801293113303,70.0279079481286
"3_1146648",1.20829238782862,6.01484334870668,5.11166631678414,-4.11071398469466,33.1139963106881
"3_1146783",0.557967428991122,2.37292576267002,1.84142415530231,-Inf,Inf
"3_1146784",1.82916554582672,2.96609200428006,2.42193765578031,-Inf,Inf
"3_1146785",-7.0336070198075,7.59166143633043,7.24650114249147,-101.392715233304,102.645033602033
"3_1146786",-8.49218942760357,9.32282983232613,8.49218942760357,-Inf,Inf
"3_1146787",0.499397160030998,4.49103744316433,3.21071032913645,-53.8354884312163,81.9461945680566
"3_1146795",20.5095762811244,72.3770427723777,25.4168880307784,11.1967328080201,28.1369781689109
"3_1146796",-2.11134672573998,4.37518435773935,3.34155848477879,-Inf,Inf
"3_1146797",1.91636625318982,5.18942692982534,4.40373543281149,16.2848428285219,76.3298812644554
"3_1146799",0.308943134884636,2.12071684667154,1.77477166882986,-Inf,Inf
"3_1146800",-3.46628762568414,7.59899107675738,5.80388527663766,-40.9473954552108,52.994693880123
"3_1146801",4.24944777450646,5.53013874319236,4.67252447432079,37.9625179155258,42.2239059276473
"3_1146802",0.616397107643143,11.7827879840531,6.88680397105195,-Inf,Inf
"3_1146803",1.43393421572482,4.17615136832739,3.04658902168133,2.83437822429809,39.5324108030081
"3_1146804",-2.04804304573275,4.1547694250156,3.70740017756403,-Inf,Inf
"3_1146974",3.97052701337794,6.06326629788757,4.42410169735953,40.3682591162065,85.0519550782364
"3_1147017",0.176450446319481,0.818531472716096,0.572388386674869,NA,Inf
"3_1147495",-2.24846161014365,16.6246748839106,14.0569495171165,-105.335558139478,130.227259058494
"3_1147731",-0.074190145368559,1.32932960241237,1.11344049877511,-Inf,Inf
"3_114778",8.71100622542228,10.5169504665553,9.30134294519592,63.6021964892443,78.3606144835852
"3_114790",0.172475247051791,6.48018866928174,5.41460915518129,-2.85779885813087,25.4612839266327
"3_114799",0.424416560890973,1.73931282252172,1.35470406127992,-Inf,Inf
"3_114800",2.8003756685356,4.51726929150858,3.64579632080479,20.8487932598419,32.8052655411519
"3_1148017",0.0321904645704899,1.69288277408615,1.36535863563625,NA,Inf
"3_1148018",7.05085985611498,8.44691776846519,7.80830462473596,NA,Inf
"3_1148548",-0.489099957035044,5.3815938193327,4.1049982267967,-10.4145900458545,23.2374991470702
"3_1148719",-0.181422271791354,2.67714504718356,2.17309266954103,-Inf,Inf
"3_1148753",-0.269169177445954,0.381733095638925,0.359535854996571,-Inf,Inf
"3_1148812",-3.3759613367525,22.9911994010694,16.2270978413211,-66.7010404065653,81.0305635006729
"3_1148971",-7.07469996844406,7.80347828803752,7.07469996844406,-Inf,Inf
"3_1148972",-1.0041548550045,3.5077750954503,3.1367219802689,-40.2912602437152,59.7627654797488
